case,model_prediction,human_decision,timestamp
0,0,Income > 50K,2026-05-07 18:04:52
0,0,Income ≤ 50K,2026-05-07 18:04:54
0,0,Income > 50K,2026-05-07 18:05:07
0,0,Income > 50K,2026-05-07 18:06:25
1302,0,Income > 50K,2026-05-07 18:06:31
3310,0,Income > 50K,2026-05-07 18:06:36
2509,0,Income > 50K,2026-05-07 18:06:38
502,0,Income > 50K,2026-05-07 18:11:01
502,0,Income ≤ 50K,2026-05-07 18:11:04
3142,0,Income ≤ 50K,2026-05-07 18:11:12
3142,0,Income > 50K,2026-05-07 18:11:18
3429,0,Income > 50K,2026-05-07 18:13:28
3429,0,Income ≤ 50K,2026-05-07 18:13:29
3429,0,Income > 50K,2026-05-07 18:13:31
3429,0,Income ≤ 50K,2026-05-07 18:13:33
3429,0,Income > 50K,2026-05-07 18:13:56
2091,0,Income > 50K,2026-05-07 18:14:06
5305,0,Income > 50K,2026-05-07 18:56:55
5305,0,Income ≤ 50K,2026-05-07 18:56:58
6106,0,Income ≤ 50K,2026-05-07 18:57:08
1063,1,Income ≤ 50K,2026-05-07 18:57:10
1255,0,Income ≤ 50K,2026-05-07 18:57:14
1374,0,Income ≤ 50K,2026-05-07 18:57:16
1613,0,Income ≤ 50K,2026-05-07 18:57:18
1721,0,Income ≤ 50K,2026-05-07 18:57:20
4935,0,Income > 50K,2026-05-07 19:04:51
4935,0,Income ≤ 50K,2026-05-07 19:04:53
4935,0,Income ≤ 50K,2026-05-07 19:05:07
4935,0,Income ≤ 50K,2026-05-07 19:05:09
3298,0,Income > 50K,2026-05-07 19:10:16
3298,0,Income ≤ 50K,2026-05-07 19:10:19
3298,0,Income ≤ 50K,2026-05-07 19:10:25
3298,0,Income ≤ 50K,2026-05-07 19:10:27
3298,0,Income ≤ 50K,2026-05-07 19:10:29
3298,0,Income ≤ 50K,2026-05-07 19:10:32
3298,0,Income ≤ 50K,2026-05-07 19:10:35
3298,0,Income ≤ 50K,2026-05-07 19:10:37
3298,0,Income ≤ 50K,2026-05-07 19:10:40
3298,0,Income ≤ 50K,2026-05-07 19:10:42
3298,0,Income ≤ 50K,2026-05-07 19:10:45
3298,0,Income ≤ 50K,2026-05-07 19:10:47
3298,0,Income ≤ 50K,2026-05-07 19:10:57
1290,0,Income > 50K,2026-05-07 19:31:44
1290,0,Income ≤ 50K,2026-05-07 19:31:48
1290,0,Income ≤ 50K,2026-05-07 19:32:00
0,0,Income > 50K,2026-05-09 19:13:13
0,0,Income > 50K,2026-05-09 19:28:30
0,0,Income > 50K,2026-05-09 19:28:34
2210,1,Income > 50K,2026-05-09 19:31:48
2210,1,Income ≤ 50K,2026-05-09 19:31:50
2210,1,Income ≤ 50K,2026-05-09 19:32:00
2210,1,Income ≤ 50K,2026-05-09 19:32:02
2210,1,Income ≤ 50K,2026-05-09 19:32:06
2210,1,Income ≤ 50K,2026-05-09 19:32:09
2210,1,Income ≤ 50K,2026-05-09 19:32:11
2210,1,Income ≤ 50K,2026-05-09 19:32:13
2210,1,Income ≤ 50K,2026-05-09 19:32:14
2210,1,Income ≤ 50K,2026-05-09 19:32:16
2210,1,Income ≤ 50K,2026-05-09 19:32:19
2210,1,Income ≤ 50K,2026-05-09 19:32:21
2210,1,Income ≤ 50K,2026-05-09 19:32:23
2210,1,Income ≤ 50K,2026-05-09 19:32:25
2210,1,Income ≤ 50K,2026-05-09 19:32:27
2210,1,Income ≤ 50K,2026-05-09 19:32:29
2210,1,Income ≤ 50K,2026-05-09 19:32:30
2210,1,Income > 50K,2026-05-09 19:33:34
2210,1,Income ≤ 50K,2026-05-09 19:33:39
2210,1,Income ≤ 50K,2026-05-09 19:33:47
2210,1,Income ≤ 50K,2026-05-09 19:33:52
2210,1,Income ≤ 50K,2026-05-09 19:33:56
2210,1,Income ≤ 50K,2026-05-09 19:34:07
5556,1,Income > 50K,2026-05-09 19:35:38
5556,1,Income ≤ 50K,2026-05-09 19:35:41
5556,1,Income > 50K,2026-05-09 19:36:01
5556,1,Income > 50K,2026-05-09 19:36:07
5556,1,Income > 50K,2026-05-09 19:36:10
5556,1,Income > 50K,2026-05-09 19:36:13
5556,1,Income > 50K,2026-05-09 19:36:16
5556,1,Income > 50K,2026-05-09 19:36:18
5556,1,Income > 50K,2026-05-09 19:44:19
5556,1,Income > 50K,2026-05-09 19:44:22
5556,1,Income > 50K,2026-05-09 19:44:24
5556,1,Income > 50K,2026-05-09 19:44:26
5556,1,Income > 50K,2026-05-09 19:44:28
3537,0,Income > 50K,2026-05-09 19:45:13
3943,1,Income > 50K,2026-05-09 19:46:31
3943,1,Income ≤ 50K,2026-05-09 19:46:34
3943,1,Income > 50K,2026-05-09 19:46:38
3943,1,Income > 50K,2026-05-09 19:47:05
3943,1,Income > 50K,2026-05-09 19:47:07
2115,1,Income > 50K,2026-05-09 20:31:37
2115,1,Income ≤ 50K,2026-05-09 20:31:40
2115,1,Income ≤ 50K,2026-05-09 20:31:47
2115,1,Income ≤ 50K,2026-05-09 20:31:49
2115,1,Income ≤ 50K,2026-05-09 20:31:51
2115,1,Income ≤ 50K,2026-05-09 20:31:53
2115,1,Income ≤ 50K,2026-05-09 20:31:55
2115,1,Income ≤ 50K,2026-05-09 20:31:57
2115,1,Income ≤ 50K,2026-05-09 20:32:00
2115,1,Income ≤ 50K,2026-05-09 20:32:03
2115,1,Income ≤ 50K,2026-05-09 20:32:06
2115,1,Income ≤ 50K,2026-05-09 20:32:09
2115,1,Income ≤ 50K,2026-05-09 20:32:14
2115,1,Income ≤ 50K,2026-05-09 20:32:18
2115,1,Income ≤ 50K,2026-05-09 20:32:21
2115,1,Income ≤ 50K,2026-05-09 20:32:23
2115,1,Income ≤ 50K,2026-05-09 20:32:29
2115,1,Income ≤ 50K,2026-05-09 20:32:41
2115,1,Income ≤ 50K,2026-05-09 20:32:43
2115,1,Income ≤ 50K,2026-05-09 20:32:45
2115,1,Income ≤ 50K,2026-05-09 20:32:47
2115,1,Income ≤ 50K,2026-05-09 20:32:48
2808,1,Income > 50K,2026-05-11 00:27:27
2808,1,Income ≤ 50K,2026-05-11 00:27:38
2808,1,Income ≤ 50K,2026-05-11 00:27:47
2808,1,Income ≤ 50K,2026-05-11 00:28:17
2808,1,Income ≤ 50K,2026-05-11 00:28:31
2808,1,Income ≤ 50K,2026-05-11 01:34:30
2808,1,Income ≤ 50K,2026-05-11 01:34:47
